timestamp,service_name,event_code,event_provider,trace_id,transaction_id,message,callee,call_duration
2025-06-03 11:32:09:839,service_7,package_3.package_5.interface_5.function_3,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_9:2, function_3 Exchange, (Pos_objectId:2970299:service_9:9,Temperature:300)",service_9,0.0
2025-06-03 11:32:09:843,service_21,package_3.interface_2.function_2,infrastructure,c58952a8-7047-4912-a97c-d3a0d153e291,e3530d56-e9a8-4d00-8c19-04d819aa70cc,"-> Client, 2970299:service_14:1, function_2",service_14,0.007
2025-06-03 11:32:09:966,service_9,package_3.package_6.package_5.interface_7.function_5,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:1, function_5",service_23,0.003
2025-06-03 11:32:09:969,service_9,package_3.package_6.package_5.interface_8.function_7,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:14, function_7 0.00024999328",service_23,0.003
2025-06-03 11:32:09:972,service_9,package_3.package_6.package_5.interface_8.function_8,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:14, function_8 0.000138014818",service_23,0.002
2025-06-03 11:32:09:975,service_9,package_3.package_6.package_5.interface_8.function_9,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:14, function_9 1.999662e-05",service_23,0.003
2025-06-03 11:32:09:978,service_9,package_3.package_6.package_5.interface_8.function_10,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:14, function_10 -0.0173266622838001",service_23,0.002
2025-06-03 11:32:09:980,service_9,package_3.package_6.package_5.interface_8.function_11,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:14, function_11 0",service_23,0.0
2025-06-03 11:32:09:988,service_9,package_3.package_6.package_5.interface_9.function_12,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:15, function_12 0, object[id:2970299:service_23:14]",service_23,0.003
2025-06-03 11:32:09:997,service_7,package_3.package_5.interface_5.function_5,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_9:2, function_5",service_9,0.003
2025-06-03 11:32:10:000,service_7,package_3.package_5.interface_6.function_6,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_9:10, function_6 (Alpha:-0.0173267,Beta:0,X:0.000249993,Y:-1.19852e-05,Z:1.99966e-05)",service_9,0.002
2025-06-03 11:32:10:002,service_7,package_3.package_5.interface_5.function_3,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_9:2, function_3 HighClamp, (Pos_objectId:2970299:service_9:10,Temperature:300)",service_9,0.152
2025-06-03 11:32:10:152,service_9,package_3.package_6.package_5.interface_7.function_5,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:1, function_5",service_23,0.002
2025-06-03 11:32:10:154,service_9,package_3.package_6.package_5.interface_8.function_7,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:16, function_7 0.00024999328",service_23,0.0
2025-06-03 11:32:10:156,service_9,package_3.package_6.package_5.interface_8.function_8,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:16, function_8 -1.1985182e-05",service_23,0.0
2025-06-03 11:32:10:158,service_9,package_3.package_6.package_5.interface_8.function_9,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:16, function_9 1.999662e-05",service_23,0.0
2025-06-03 11:32:10:159,service_9,package_3.package_6.package_5.interface_8.function_10,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:16, function_10 -0.0173266622838001",service_23,0.0
2025-06-03 11:32:10:160,service_9,package_3.package_6.package_5.interface_8.function_11,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:16, function_11 0",service_23,0.0
2025-06-03 11:32:10:163,service_9,package_3.package_6.package_5.interface_9.function_12,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:17, function_12 3, object[id:2970299:service_23:16]",service_23,0.001
2025-06-03 11:32:10:171,service_7,package_3.package_5.interface_5.function_5,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_9:2, function_5",service_9,0.002
2025-06-03 11:32:10:173,service_7,package_3.package_5.interface_6.function_6,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_9:11, function_6 (Alpha:-0.0173267,Beta:0,X:0.000249993,Y:-1.19852e-05,Z:-0.000180003)",service_9,0.002
2025-06-03 11:32:10:175,service_7,package_3.package_5.interface_5.function_3,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_9:2, function_3 LowClamp, (Pos_objectId:2970299:service_9:11,Temperature:300)",service_9,0.0
2025-06-03 11:32:10:325,service_9,package_3.package_6.package_5.interface_7.function_5,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:1, function_5",service_23,0.002
2025-06-03 11:32:10:327,service_9,package_3.package_6.package_5.interface_8.function_7,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:18, function_7 0.00024999328",service_23,0.0
2025-06-03 11:32:10:329,service_9,package_3.package_6.package_5.interface_8.function_8,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:18, function_8 -1.1985182e-05",service_23,0.001
2025-06-03 11:32:10:330,service_9,package_3.package_6.package_5.interface_8.function_9,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:18, function_9 -0.00018000338",service_23,0.001
2025-06-03 11:32:10:331,service_9,package_3.package_6.package_5.interface_8.function_10,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:18, function_10 -0.0173266622838001",service_23,0.0
2025-06-03 11:32:10:333,service_9,package_3.package_6.package_5.interface_8.function_11,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:18, function_11 0",service_23,0.0
2025-06-03 11:32:10:335,service_9,package_3.package_6.package_5.interface_9.function_12,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:19, function_12 4, object[id:2970299:service_23:18]",service_23,0.002
2025-06-03 11:32:10:342,service_7,package_3.package_5.interface_5.function_5,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_9:2, function_5",service_9,0.002
2025-06-03 11:32:10:344,service_7,package_3.package_5.interface_6.function_6,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_9:12, function_6 (Alpha:0,Beta:0,X:0,Y:0,Z:0)",service_9,0.0
2025-06-03 11:32:10:346,service_7,package_3.package_5.interface_5.function_3,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_9:2, function_3 PostLoad, (Pos_objectId:2970299:service_9:12,Temperature:300)",service_9,0.151
